src\classes\action\action.py	17	const	\n    长态动作装饰器，用于为动作类自动添加时间管理功能\n\n    Args:\n        step_month: 动作需要的月份数\n    
src\classes\action\action.py	28	const	\n            根据时间差判断动作是否完成\n            接受但忽略额外的参数以保持与其他动作类型的兼容性\n            
src\classes\action\action.py	48	const	\n    角色可以执行的动作。\n    比如，移动、攻击、采集、建造、etc。\n    
src\classes\action\action.py	66	const	是否允许参加聚会：如果显式配置了则使用配置，否则重大行为默认不允许，非重大行为默认允许
src\classes\action\action.py	73	const	是否允许奇遇/霉运：如果显式配置了则使用配置，否则重大行为默认不允许，非重大行为默认允许
src\classes\action\action.py	79	const	\n        传一个avatar的ref\n        这样子实际执行的时候，可以知道avatar的能力和状态\n        可选传入world；若不传，则尝试从avatar.world获取。\n        
src\classes\action\action.py	93	const	\n        获取动作名称\n        
src\classes\action\action.py	102	const	获取动作名称的翻译
src\classes\action\action.py	109	const	获取动作描述的翻译
src\classes\action\action.py	116	const	获取可执行条件的翻译
src\classes\action\action.py	122	const	获取需要存档的运行时数据
src\classes\action\action.py	126	const	加载运行时数据
src\classes\action\action.py	130	const	\n        判断是否有可能开始执行该动作。\n        用于在AI决策时过滤掉绝对不可能执行的动作，以减小prompt长度。\n        
src\classes\action\action.py	139	const	\n        初始化动作，处理长态动作的属性设置\n        
src\classes\action\action.py	150	const	\n        执行动作，处理时间管理逻辑，然后调用具体的_execute实现\n        
src\classes\action\action.py	161	const	\n        具体的动作执行逻辑，由子类实现\n        
src\classes\action\action.py	186	const	\n    基于LLM的action，这种action一般是不需要实际的规则定义。\n    而是一种抽象的，仅有社会层面的后果的定义。\n    比如“折辱”“恶狠狠地盯着”“退婚”等\n    这种action会通过LLM生成并被执行，让NPC记忆并产生后果。\n    但是不需要规则侧做出反应来。\n    
src\classes\action\action.py	198	const	\n    动作片，可以理解成只是一种切分出来的动作。\n    不能被avatar直接执行，而是成为avatar执行某个动作的步骤。\n    
src\classes\action\action.py	207	const	\n    实际的可以被规则/LLM调用，让avatar去执行的动作。\n    不一定是多个step，也有可能就一个step。\n\n    新接口：子类必须实现 can_start/start/step/finish。\n    \n    类变量：\n    - IS_MAJOR: 是否为大事（长期记忆），默认False（小事/短期记忆）\n    
src\classes\action\action.py	221	const	\n        创建事件的辅助方法，自动带上is_major属性\n        \n        Args:\n            content: 事件内容\n            related_avatars: 相关角色ID列表\n            \n        Returns:\n            Event对象，is_major根据当前Action的IS_MAJOR类变量设置\n        
src\classes\action\action.py	259	const	\n    一次性动作：在一次 step 内完成。子类仅需实现 _execute。\n    
src\classes\action\action.py	270	const	\n    长态动作：通过类属性 duration_months 控制持续时间。\n    子类实现 _execute 作为每月的执行逻辑。\n    
src\classes\action\assassinate.py	41	const	获取成功提示词的翻译
src\classes\action\assassinate.py	46	const	获取失败提示词的翻译
src\classes\action\attack.py	30	const	获取故事提示词的翻译
src\classes\action\breakthrough.py	25	const	\n    突破境界。\n    成功率由 `CultivationProgress.get_breakthrough_success_rate()` 决定；\n    失败时按 `CultivationProgress.get_breakthrough_fail_reduce_lifespan()` 减少寿元（年）。\n    
src\classes\action\breakthrough.py	46	const	\n        计算突破境界的成功率（由修为进度给出）\n        
src\classes\action\breakthrough.py	58	const	\n        突破境界\n        
src\classes\action\breakthrough.py	97	const	\n        突破境界时更新HP的最大值并完全恢复\n\n        Args:\n            new_realm: 新的境界\n        
src\classes\action\buy.py	21	const	\n    在城镇购买物品。\n    \n    如果是丹药：购买后强制立即服用。\n    如果是其他物品：购买后放入背包。\n    如果是装备（兵器/法宝）：购买后直接装备（替换原有装备，旧装备折价售出）。\n    
src\classes\action\cast.py	26	const	\n    铸造动作：消耗同阶材料，尝试打造同阶宝物（兵器或辅助装备）。\n    持续时间：3个月\n    
src\classes\action\cast.py	60	const	\n        统计符合条件的材料数量。\n        
src\classes\action\catch.py	19	const	\n    御兽：仅百兽宗弟子可用。\n    条件：\n    - 当前处于普通区域，且该区域有动物分布\n    - 目标动物境界 <= Avatar 境界\n    结果：\n    - 按动物境界映射成功率尝试捕捉，成功则成为灵兽（覆盖旧灵兽）。\n    
src\classes\action\catch.py	53	const	百兽宗
src\classes\action\config.py	9	const	\n    读取动作相关配置的轻量封装。\n\n    用法：\n        ActionConfig.get("actions.duration.play", default=6)\n    支持以点号分隔的路径逐层 getattr，读取不到时返回 default。\n    
